ed_map_for_viz,Trump,Clinton,vote_differences,total_value,trump_pct,clinton_pct,vote_counts_pct
80082,38,232,-194,575,6.608695652173912,40.34782608695652,-33.73913043478261
80083,62,486,-424,1152,5.381944444444445,42.1875,-36.80555555555556
80084,52,543,-491,1227,4.2379788101059495,44.25427872860636,-40.01629991850041
80085,56,581,-525,1305,4.291187739463601,44.52107279693487,-40.229885057471265
80086,44,627,-583,1365,3.223443223443224,45.934065934065934,-42.71062271062271
80087,17,210,-193,471,3.6093418259023355,44.5859872611465,-40.976645435244166
80088,0,0,0,0,0.0,0.0,0.0
80089,0,0,0,0,0.0,0.0,0.0
80092,0,0,0,0,0.0,0.0,0.0
81001,21,404,-383,871,2.4110218140068884,46.38346727898966,-43.972445464982776
81002,57,487,-430,1101,5.177111716621254,44.23251589464123,-39.05540417801998
81003,14,166,-152,363,3.8567493112947657,45.73002754820937,-41.87327823691461
81004,57,615,-558,1375,4.1454545454545455,44.72727272727273,-40.58181818181818
81005,38,538,-500,1186,3.204047217537943,45.362563237774026,-42.158516020236085
81006,53,474,-421,1077,4.921077065923862,44.01114206128134,-39.09006499535748
81007,69,591,-522,1363,5.062362435803375,43.36023477622891,-38.297872340425535
81008,22,264,-242,590,3.728813559322034,44.74576271186441,-41.016949152542374
81009,23,359,-336,783,2.937420178799489,45.84929757343551,-42.911877394636015
81010,13,157,-144,354,3.672316384180791,44.35028248587571,-40.67796610169492
81011,9,104,-95,226,3.982300884955752,46.017699115044245,-42.03539823008849
81012,69,527,-458,1249,5.524419535628502,42.1937550040032,-36.6693354683747
81013,39,258,-219,618,6.310679611650485,41.74757281553398,-35.43689320388349
81014,61,345,-284,853,7.151230949589683,40.44548651817116,-33.29425556858148
81015,77,497,-420,1198,6.42737896494157,41.48580968280468,-35.05843071786311
81016,0,0,0,0,0.0,0.0,0.0
81017,23,582,-559,1228,1.8729641693811077,47.39413680781759,-45.52117263843648
81018,31,561,-530,1205,2.572614107883817,46.55601659751037,-43.983402489626556
81019,18,345,-327,740,2.4324324324324325,46.62162162162162,-44.189189189189186
81020,56,577,-521,1298,4.314329738058552,44.45300462249615,-40.1386748844376
81021,34,491,-457,1056,3.2196969696969697,46.496212121212125,-43.276515151515156
81022,15,431,-416,915,1.639344262295082,47.10382513661202,-45.46448087431694
81023,32,575,-543,1255,2.549800796812749,45.81673306772908,-43.266932270916335
81024,27,369,-342,806,3.3498759305210917,45.78163771712159,-42.4317617866005
81025,134,172,-38,635,21.102362204724407,27.086614173228345,-5.984251968503937
81026,97,182,-85,596,16.2751677852349,30.536912751677853,-14.261744966442954
81027,153,158,-5,649,23.57473035439137,24.345146379044685,-0.7704160246533149
81028,149,199,-50,750,19.866666666666667,26.53333333333333,-6.666666666666664
81029,126,140,-14,555,22.702702702702705,25.225225225225223,-2.522522522522518
81030,181,199,-18,800,22.625,24.875,-2.25
81031,159,167,-8,683,23.2796486090776,24.45095168374817,-1.1713030746705684
81032,149,157,-8,637,23.390894819466247,24.646781789638933,-1.2558869701726856
81033,72,397,-325,995,7.236180904522612,39.89949748743719,-32.663316582914575
81034,66,383,-317,939,7.0287539936102235,40.788072417465386,-33.75931842385516
81035,65,322,-257,821,7.917174177831912,39.2204628501827,-31.30328867235079
81036,119,661,-542,1626,7.318573185731856,40.65190651906519,-33.333333333333336
81037,74,533,-459,1258,5.88235294117647,42.368839427662955,-36.486486486486484
81038,37,621,-584,1334,2.7736131934032984,46.55172413793103,-43.77811094452773
81039,36,299,-263,707,5.091937765205092,42.29137199434229,-37.199434229137196
81040,49,568,-519,1269,3.8613081166272654,44.759653270291565,-40.8983451536643
81041,125,528,-403,1378,9.071117561683598,38.31640058055152,-29.245283018867923
81042,36,148,-112,377,9.549071618037134,39.257294429708224,-29.708222811671092
81043,81,308,-227,813,9.96309963099631,37.88437884378843,-27.921279212792122
81044,81,209,-128,611,13.2569558101473,34.20621931260229,-20.949263502454993
81045,16,113,-97,262,6.106870229007633,43.12977099236641,-37.02290076335878
81046,28,206,-178,705,3.9716312056737593,29.219858156028366,-25.248226950354606
81047,32,113,-81,308,10.38961038961039,36.688311688311686,-26.298701298701296
81048,60,363,-303,884,6.787330316742081,41.06334841628959,-34.276018099547514
81049,81,285,-204,787,10.292249047013977,36.213468869123254,-25.92121982210928
81050,67,389,-322,961,6.971904266389179,40.4786680541103,-33.50676378772112
81051,63,317,-254,808,7.797029702970297,39.23267326732673,-31.435643564356432
81052,44,147,-103,401,10.972568578553615,36.65835411471321,-25.6857855361596
81053,55,135,-80,402,13.681592039800993,33.582089552238806,-19.900497512437813
81054,91,493,-402,1235,7.368421052631578,39.91902834008097,-32.550607287449395
81055,129,442,-313,1183,10.904480135249365,37.362637362637365,-26.458157227388
81056,136,455,-319,1236,11.003236245954692,36.81229773462783,-25.80906148867314
81057,81,257,-176,723,11.20331950207469,35.5463347164592,-24.343015214384508
81058,85,351,-266,904,9.402654867256636,38.82743362831859,-29.42477876106195
81059,118,226,-108,745,15.838926174496645,30.335570469798657,-14.496644295302012
81060,157,308,-151,972,16.152263374485596,31.68724279835391,-15.534979423868315
81061,60,185,-125,516,11.627906976744185,35.85271317829458,-24.224806201550393
81062,66,358,-292,879,7.508532423208192,40.72810011376564,-33.21956769055745
81063,137,334,-197,985,13.908629441624365,33.90862944162436,-20.0
81064,120,685,-565,1651,7.268322228952149,41.490006056935194,-34.22168382798304
81065,144,411,-267,1164,12.371134020618557,35.30927835051546,-22.938144329896907
81066,82,213,-131,616,13.311688311688311,34.57792207792208,-21.26623376623377
81067,67,298,-231,755,8.874172185430464,39.47019867549669,-30.596026490066226
81068,92,432,-340,1100,8.363636363636363,39.27272727272727,-30.90909090909091
81069,138,516,-378,1354,10.19202363367799,38.10930576070901,-27.917282127031022
81070,30,147,-117,366,8.19672131147541,40.16393442622951,-31.967213114754102
81071,159,626,-467,1651,9.6305269533616,37.91641429436705,-28.285887341005452
81072,115,435,-320,1162,9.896729776247849,37.43545611015491,-27.53872633390706
81073,81,349,-268,893,9.070548712206048,39.08174692049272,-30.01119820828667
81074,87,407,-320,1023,8.504398826979472,39.784946236559136,-31.280547409579665
81075,82,445,-363,1111,7.380738073807381,40.054005400540056,-32.67326732673268
81076,85,390,-305,997,8.525576730190572,39.1173520561685,-30.591775325977927
81077,79,386,-307,970,8.144329896907216,39.79381443298969,-31.649484536082475
81078,141,637,-496,1617,8.719851576994433,39.39393939393939,-30.674087816944958
81079,151,444,-293,1245,12.1285140562249,35.66265060240964,-23.53413654618474
81080,86,502,-416,1235,6.963562753036437,40.64777327935223,-33.684210526315795
81081,53,371,-318,874,6.064073226544623,42.44851258581236,-36.38443935926774
81082,71,329,-258,841,8.442330558858501,39.12009512485137,-30.677764565992867
81083,75,342,-267,871,8.610792192881746,39.26521239954076,-30.65442020665901
81084,122,580,-458,1463,8.33902939166097,39.64456596035543,-31.305536568694457
81085,50,217,-167,553,9.041591320072333,39.24050632911392,-30.198915009041585
81086,119,372,-253,1027,11.587147030185005,36.22200584225901,-24.634858812074004
81087,71,349,-278,881,8.059023836549375,39.61407491486947,-31.555051078320094
81088,128,294,-166,888,14.414414414414415,33.108108108108105,-18.69369369369369
81089,66,337,-271,826,7.990314769975787,40.79903147699758,-32.80871670702179
81090,46,371,-325,874,5.263157894736842,42.44851258581236,-37.18535469107552
81091,59,343,-284,829,7.117008443908324,41.3751507840772,-34.258142340168874
81092,15,321,-306,686,2.186588921282799,46.79300291545189,-44.606413994169095
81093,34,497,-463,1081,3.145235892691952,45.97594819611471,-42.83071230342276
81094,47,424,-377,955,4.9214659685863875,44.397905759162306,-39.47643979057592
81095,44,208,-164,536,8.208955223880597,38.80597014925373,-30.597014925373134
81096,41,311,-270,725,5.655172413793103,42.896551724137936,-37.24137931034483
81097,20,421,-401,915,2.185792349726776,46.01092896174863,-43.82513661202186
81098,35,398,-363,898,3.8975501113585747,44.32071269487751,-40.42316258351893
81099,67,588,-521,1364,4.912023460410557,43.10850439882698,-38.19648093841642
81100,18,386,-368,835,2.155688622754491,46.22754491017964,-44.07185628742515
81102,0,0,0,0,0.0,0.0,0.0
81103,0,0,0,0,0.0,0.0,0.0
81104,4,18,-14,46,8.695652173913043,39.130434782608695,-30.434782608695652
81105,0,0,0,0,0.0,0.0,0.0
81106,0,0,0,0,0.0,0.0,0.0
81107,2,84,-82,172,1.1627906976744187,48.837209302325576,-47.67441860465116
82001,366,157,209,1090,33.57798165137615,14.403669724770642,19.174311926605505
82002,318,238,80,1139,27.91922739244952,20.8955223880597,7.0237050043898215
82003,213,112,101,676,31.50887573964497,16.56804733727811,14.940828402366861
82004,318,168,150,1004,31.673306772908365,16.733067729083665,14.9402390438247
82005,295,354,-59,1338,22.04783258594918,26.45739910313901,-4.40956651718983
82006,187,284,-97,958,19.51983298538622,29.64509394572025,-10.125260960334032
82007,213,245,-32,958,22.233820459290186,25.5741127348643,-3.3402922755741145
82008,135,445,-310,1191,11.335012594458437,37.36356003358522,-26.028547439126786
82009,160,245,-85,830,19.27710843373494,29.518072289156628,-10.240963855421686
82010,187,488,-301,1394,13.414634146341465,35.00717360114778,-21.592539454806314
82011,148,347,-199,1024,14.453125,33.88671875,-19.43359375
82012,16,324,-308,693,2.3088023088023086,46.75324675324675,-44.44444444444444
82013,17,426,-409,887,1.9165727170236753,48.02705749718152,-46.11048478015784
82014,10,176,-166,380,2.631578947368421,46.31578947368421,-43.684210526315795
82015,26,470,-444,1014,2.564102564102564,46.35108481262327,-43.78698224852071
82016,136,312,-176,921,14.76655808903366,33.876221498371336,-19.109663409337678
82017,223,365,-142,1230,18.130081300813007,29.67479674796748,-11.544715447154474
82018,67,246,-179,632,10.601265822784809,38.924050632911396,-28.322784810126585
82019,118,206,-88,663,17.79788838612368,31.070889894419306,-13.273001508295625
82020,166,199,-33,768,21.614583333333336,25.911458333333332,-4.2968749999999964
82021,91,207,-116,606,15.016501650165019,34.15841584158416,-19.14191419141914
82022,158,352,-194,1047,15.090735434574976,33.61986628462273,-18.529130850047757
82023,51,408,-357,952,5.357142857142857,42.857142857142854,-37.5
82024,137,370,-233,1053,13.010446343779677,35.13770180436847,-22.127255460588792
82025,157,324,-167,992,15.826612903225806,32.66129032258064,-16.834677419354833
82026,0,0,0,0,0.0,0.0,0.0
82027,31,272,-241,618,5.016181229773463,44.01294498381877,-38.996763754045304
82028,61,521,-460,1193,5.113160100586756,43.67141659681476,-38.558256496228005
82029,25,126,-101,310,8.064516129032258,40.64516129032258,-32.58064516129032
82030,64,438,-374,1027,6.2317429406037,42.648490749756576,-36.416747809152874
82031,75,716,-641,1611,4.655493482309125,44.44444444444444,-39.78895096213532
82032,188,330,-142,1080,17.40740740740741,30.555555555555557,-13.148148148148149
82033,168,268,-100,910,18.461538461538463,29.450549450549453,-10.989010989010989
82034,134,240,-106,786,17.048346055979643,30.53435114503817,-13.486005089058526
82035,218,362,-144,1206,18.076285240464347,30.016583747927033,-11.940298507462686
82036,231,443,-212,1375,16.8,32.21818181818182,-15.418181818181818
82037,125,316,-191,901,13.873473917869033,35.07214206437292,-21.198668146503884
82038,91,335,-244,883,10.30577576443941,37.93884484711212,-27.633069082672712
82039,189,434,-245,1294,14.605873261205565,33.53941267387944,-18.933539412673873
82040,215,230,-15,909,23.652365236523654,25.302530253025303,-1.6501650165016493
82041,277,231,46,1040,26.634615384615383,22.21153846153846,4.423076923076923
82042,130,135,-5,556,23.381294964028775,24.280575539568343,-0.8992805755395672
82043,254,194,60,911,27.881448957189903,21.295279912184412,6.586169045005491
82044,257,210,47,967,26.5770423991727,21.71664943123061,4.86039296794209
82045,229,146,83,778,29.43444730077121,18.76606683804627,10.66838046272494
82046,267,173,94,920,29.02173913043478,18.804347826086957,10.217391304347824
82047,254,177,77,908,27.973568281938327,19.493392070484582,8.480176211453745
82048,291,208,83,1036,28.08880308880309,20.077220077220076,8.011583011583014
82049,375,215,160,1218,30.78817733990148,17.651888341543515,13.136288998357966
82050,91,212,-121,616,14.772727272727273,34.41558441558442,-19.642857142857146
82051,158,390,-232,1133,13.945278022947926,34.42188879082083,-20.476610767872906
82052,196,365,-169,1182,16.58206429780034,30.879864636209813,-14.297800338409473
82053,99,296,-197,827,11.970979443772672,35.79201934703748,-23.82103990326481
82054,1,49,-48,100,1.0,49.0,-48.0
82055,163,196,-33,742,21.96765498652291,26.41509433962264,-4.447439353099732
82056,163,255,-92,906,17.991169977924944,28.14569536423841,-10.154525386313466
82057,154,213,-59,763,20.18348623853211,27.916120576671034,-7.732634338138922
82058,213,218,-5,900,23.666666666666668,24.22222222222222,-0.5555555555555536
82059,5,25,-20,62,8.064516129032258,40.32258064516129,-32.25806451612903
82060,233,270,-37,1042,22.36084452975048,25.911708253358924,-3.550863723608444
82061,240,303,-63,1140,21.052631578947366,26.57894736842105,-5.526315789473685
82062,219,240,-21,975,22.46153846153846,24.615384615384617,-2.153846153846157
82063,183,236,-53,869,21.058688147295744,27.15765247410817,-6.098964326812425
82064,72,269,-197,703,10.241820768136558,38.26458036984353,-28.022759601706973
82065,57,725,-668,1601,3.560274828232355,45.284197376639604,-41.72392254840725
82066,40,365,-325,830,4.819277108433735,43.97590361445783,-39.15662650602409
82067,34,441,-407,957,3.5527690700104495,46.08150470219436,-42.52873563218391
82068,22,347,-325,746,2.949061662198391,46.51474530831099,-43.5656836461126
82069,29,376,-347,822,3.5279805352798053,45.742092457420924,-42.21411192214112
82070,23,319,-296,702,3.276353276353276,45.44159544159544,-42.16524216524216
82071,19,379,-360,807,2.3543990086741013,46.96406443618339,-44.60966542750929
82072,27,389,-362,848,3.1839622641509435,45.87264150943396,-42.68867924528302
82073,22,359,-337,779,2.8241335044929397,46.08472400513479,-43.26059050064185
82074,23,308,-285,683,3.3674963396778916,45.095168374816986,-41.72767203513909
82075,13,304,-291,640,2.03125,47.5,-45.46875
82076,14,312,-298,708,1.977401129943503,44.06779661016949,-42.090395480225986
82077,17,399,-382,852,1.9953051643192488,46.83098591549296,-44.83568075117371
82078,28,437,-409,939,2.9818956336528224,46.53887113951012,-43.556975505857295
82079,26,439,-413,954,2.7253668763102725,46.0167714884696,-43.291404612159326
82081,30,374,-344,824,3.640776699029126,45.38834951456311,-41.747572815533985
82082,21,250,-229,564,3.723404255319149,44.32624113475177,-40.60283687943262
82083,11,85,-74,194,5.670103092783505,43.81443298969072,-38.144329896907216
82084,27,480,-453,1031,2.6188166828322017,46.55674102812803,-43.937924345295826
82085,34,335,-301,757,4.491413474240423,44.253632760898284,-39.76221928665786
82086,21,330,-309,721,2.912621359223301,45.76976421636616,-42.85714285714286
82087,17,346,-329,736,2.309782608695652,47.01086956521739,-44.70108695652174
82088,15,388,-373,830,1.8072289156626504,46.74698795180723,-44.93975903614458
82089,28,406,-378,882,3.1746031746031744,46.03174603174603,-42.857142857142854
82090,30,361,-331,807,3.717472118959108,44.73358116480793,-41.01610904584882
82091,20,201,-181,448,4.464285714285714,44.86607142857143,-40.401785714285715
82092,34,491,-457,1067,3.1865042174320526,46.01686972820993,-42.83036551077788
82093,27,374,-347,814,3.3169533169533167,45.94594594594595,-42.628992628992634
82094,20,373,-353,811,2.466091245376079,45.99260172626387,-43.526510480887794
82095,31,502,-471,1091,2.841429880843263,46.012832263978005,-43.17140238313474
82096,22,326,-304,717,3.0683403068340307,45.467224546722456,-42.398884239888424
82097,43,400,-357,900,4.777777777777778,44.44444444444444,-39.666666666666664
82098,42,473,-431,1050,4.0,45.04761904761905,-41.04761904761905
82099,16,444,-428,947,1.689545934530095,46.884899683210136,-45.19535374868004
82100,29,386,-357,853,3.399765533411489,45.25205158264947,-41.85228604923798
82101,15,363,-348,767,1.955671447196871,47.327249022164274,-45.371577574967404
82102,18,347,-329,745,2.4161073825503356,46.577181208053695,-44.16107382550336
82103,19,310,-291,673,2.823179791976226,46.062407132243685,-43.23922734026746
82104,18,420,-402,894,2.013422818791946,46.97986577181208,-44.966442953020135
82105,25,408,-383,880,2.840909090909091,46.36363636363636,-43.522727272727266
82106,1,0,1,4,25.0,0.0,25.0
82107,74,131,-57,423,17.494089834515368,30.969267139479907,-13.47517730496454
82108,0,1,-1,2,0.0,50.0,-50.0
82109,36,237,-201,558,6.451612903225806,42.473118279569896,-36.02150537634409
82111,0,0,0,0,0.0,0.0,0.0
82117,0,0,0,0,0.0,0.0,0.0
83001,35,676,-641,1470,2.380952380952381,45.98639455782313,-43.60544217687075
83002,5,95,-90,200,2.5,47.5,-45.0
83003,14,361,-347,757,1.8494055482166447,47.6882430647292,-45.838837516512555
83004,15,201,-186,446,3.3632286995515694,45.06726457399103,-41.70403587443946
83005,6,110,-104,239,2.510460251046025,46.02510460251046,-43.51464435146443
83006,18,455,-437,956,1.882845188284519,47.59414225941423,-45.71129707112971
83007,10,504,-494,1051,0.9514747859181731,47.95432921027592,-47.00285442435775
83008,16,353,-337,757,2.1136063408190227,46.63143989431968,-44.51783355350066
83009,13,407,-394,850,1.5294117647058825,47.88235294117647,-46.35294117647059
83010,20,692,-672,1436,1.392757660167131,48.18941504178273,-46.7966573816156
83011,20,506,-486,1065,1.8779342723004695,47.51173708920188,-45.63380281690141
83013,24,639,-615,1348,1.7804154302670623,47.403560830860535,-45.62314540059347
83014,23,747,-724,1580,1.4556962025316456,47.27848101265823,-45.822784810126585
83015,15,611,-596,1280,1.171875,47.734375,-46.5625
83016,9,583,-574,1197,0.7518796992481203,48.705096073517126,-47.953216374269005
83017,9,500,-491,1028,0.8754863813229572,48.63813229571984,-47.762645914396884
83018,11,495,-484,1035,1.0628019323671498,47.82608695652174,-46.76328502415459
83019,14,394,-380,836,1.674641148325359,47.12918660287082,-45.45454545454546
83020,6,392,-386,809,0.7416563658838072,48.4548825710754,-47.713226205191596
83021,12,446,-434,925,1.2972972972972971,48.21621621621622,-46.91891891891892
83022,20,407,-387,878,2.277904328018223,46.35535307517084,-44.077448747152616
83023,14,403,-389,859,1.629802095459837,46.91501746216531,-45.28521536670547
83024,7,226,-219,484,1.4462809917355373,46.69421487603306,-45.247933884297524
83025,10,378,-368,792,1.2626262626262625,47.72727272727273,-46.464646464646464
83026,15,270,-255,579,2.5906735751295336,46.63212435233161,-44.04145077720207
83027,31,547,-516,1171,2.6473099914602902,46.712211784799315,-44.064901793339025
83028,24,632,-608,1342,1.7883755588673622,47.093889716840536,-45.30551415797317
83029,18,363,-345,768,2.34375,47.265625,-44.921875
83030,26,442,-416,955,2.7225130890052354,46.282722513089006,-43.56020942408377
83031,13,484,-471,1006,1.2922465208747516,48.111332007952285,-46.81908548707754
83032,17,539,-522,1127,1.5084294587400178,47.82608695652174,-46.317657497781724
83033,19,466,-447,987,1.9250253292806485,47.21377912867275,-45.2887537993921
83034,14,540,-526,1118,1.2522361359570662,48.3005366726297,-47.04830053667263
83035,19,408,-389,868,2.1889400921658986,47.004608294930875,-44.815668202764975
83036,15,243,-228,518,2.8957528957528957,46.91119691119691,-44.01544401544402
83037,5,441,-436,898,0.5567928730512249,49.10913140311804,-48.55233853006682
83038,13,507,-494,1061,1.2252591894439209,47.78510838831291,-46.559849198868996
83039,15,427,-412,899,1.668520578420467,47.4972191323693,-45.82869855394883
83040,8,379,-371,781,1.0243277848911652,48.52752880921895,-47.50320102432779
83041,12,364,-352,761,1.5768725361366622,47.83180026281209,-46.254927726675426
83042,12,457,-445,949,1.2644889357218125,48.15595363540569,-46.89146469968387
83043,8,425,-417,881,0.9080590238365494,48.240635641316686,-47.332576617480136
83044,13,547,-534,1137,1.1433597185576077,48.10905892700088,-46.965699208443276
83045,13,546,-533,1129,1.1514614703277237,48.36138175376439,-47.20992028343667
83046,25,423,-398,914,2.735229759299781,46.2800875273523,-43.544857768052516
83047,23,428,-405,917,2.5081788440567068,46.673936750272624,-44.165757906215916
83048,13,442,-429,922,1.4099783080260302,47.939262472885034,-46.52928416485901
83049,14,437,-423,910,1.5384615384615385,48.02197802197802,-46.48351648351648
83050,22,538,-516,1136,1.936619718309859,47.359154929577464,-45.42253521126761
83051,10,512,-502,1056,0.946969696969697,48.484848484848484,-47.53787878787879
83052,18,518,-500,1090,1.651376146788991,47.522935779816514,-45.87155963302752
83053,14,435,-421,911,1.5367727771679474,47.74972557628979,-46.212952799121844
83054,10,384,-374,796,1.256281407035176,48.24120603015075,-46.984924623115575
83055,11,554,-543,1141,0.9640666082383873,48.55390008764242,-47.58983347940403
83056,19,524,-505,1104,1.7210144927536233,47.46376811594203,-45.742753623188406
83057,12,468,-456,980,1.2244897959183674,47.755102040816325,-46.53061224489796
83058,7,335,-328,694,1.0086455331412103,48.27089337175792,-47.26224783861671
83059,16,553,-537,1160,1.3793103448275863,47.672413793103445,-46.29310344827586
83060,15,214,-199,463,3.2397408207343417,46.220302375809936,-42.980561555075596
83061,6,325,-319,684,0.8771929824561403,47.514619883040936,-46.6374269005848
83062,6,261,-255,548,1.094890510948905,47.627737226277375,-46.53284671532847
83063,10,343,-333,720,1.3888888888888888,47.638888888888886,-46.25
83064,12,419,-407,874,1.3729977116704806,47.94050343249428,-46.5675057208238
83065,12,359,-347,747,1.6064257028112447,48.058902275769746,-46.4524765729585
83066,25,562,-537,1189,2.1026072329688814,47.26661059714045,-45.16400336417157
83067,25,606,-581,1299,1.924557351809084,46.65127020785219,-44.72671285604311
83068,0,1,-1,2,0.0,50.0,-50.0
83069,24,717,-693,1518,1.5810276679841897,47.233201581027664,-45.65217391304348
83070,46,576,-530,1265,3.6363636363636362,45.533596837944664,-41.89723320158103
83071,30,574,-544,1229,2.4410089503661516,46.7046379170057,-44.263628966639544
83072,19,365,-346,793,2.3959646910466583,46.02774274905423,-43.63177805800757
83073,13,506,-493,1045,1.244019138755981,48.421052631578945,-47.177033492822964
83074,33,502,-469,1090,3.0275229357798166,46.055045871559635,-43.02752293577982
83075,24,569,-545,1207,1.9884009942004972,47.14167357083679,-45.15327257663629
83076,26,575,-549,1220,2.1311475409836063,47.13114754098361,-45.00000000000001
83077,11,484,-473,1007,1.0923535253227408,48.0635551142006,-46.971201588877854
83078,16,406,-390,866,1.8475750577367205,46.88221709006928,-45.03464203233256
83079,22,629,-607,1341,1.6405667412378822,46.90529455630127,-45.26472781506339
83080,14,462,-448,970,1.443298969072165,47.62886597938144,-46.18556701030927
83081,24,574,-550,1209,1.9851116625310175,47.47725392886683,-45.49214226633581
83082,19,541,-522,1133,1.6769638128861428,47.74933804060018,-46.072374227714036
83083,25,477,-452,1020,2.450980392156863,46.76470588235294,-44.31372549019608
83084,5,46,-41,104,4.807692307692308,44.230769230769226,-39.42307692307692
83085,12,244,-232,525,2.2857142857142856,46.476190476190474,-44.19047619047619
83086,17,298,-281,637,2.6687598116169546,46.781789638932494,-44.11302982731554
84001,28,550,-522,1171,2.391118701964133,46.96840307429547,-44.57728437233134
84002,22,528,-506,1115,1.9730941704035874,47.3542600896861,-45.381165919282516
84003,27,523,-496,1115,2.4215246636771304,46.90582959641256,-44.48430493273543
84004,18,501,-483,1059,1.69971671388102,47.30878186968839,-45.60906515580737
